ID,Ticker,Sell_After,Price,Volatility,Vol_Coeff,Drift,Objective_Value
59,TXN,5,254.625,0.0010841439368727726,1.0,0.044462844383564425,37.485484988912596
144,AMD,5,161.91,0.0009962143399985263,1.0,0.03966445958769901,0.40006115363990025
4,ORCL,5,126.71,0.0007371693308633762,1.0,0.03232560799688478,0.20760212464490344
99,WFC,5,75.0,0.00028195829477257794,1.0,0.022249634785200038,0.19752855488395935
209,CMCSA,5,76.595,0.0003188665613094927,1.0,0.019877072315307758,0.1759063174616794
98,WFC,4,75.0,0.00028195829477257794,1.0,0.022249634785200038,0.1666250257449485
143,AMD,4,161.91,0.0009962143399985263,1.0,0.03966445958769901,0.1550820845042599
208,CMCSA,4,76.595,0.0003188665613094927,1.0,0.019877072315307758,0.15311134302356638
169,CSCO,5,144.375,0.0005824875123929375,1.0,0.029278654279754096,0.14696318845625012
97,WFC,3,75.0,0.00028195829477257794,1.0,0.022249634785200038,0.14453423322563186
